id,app_name,developer,platform,release_date,price
1,Daltfresh,Mikel L' Estrange,Android 9.0; up to Android 11; One UI 3.0,2/18/2012,3.88
2,Veribet,Magdalena Archard,Android 6.0,9/18/2014,0.32
3,Lotlux,Findlay Nears,Android 4.1.2,11/26/2024,9.29
4,Ronstring,Greggory Bour,Android 5.2; Sense UI 7,9/23/2017,5.89
5,Asoka,Drucill Wilkisson,Android 4.3,6/18/2012,4.5
6,Veribet,Beulah Swettenham,Android 2.3.5; TouchWiz UI,10/24/2019,5.83
7,Overhold,Eugene Sworder,Feature phone,4/30/2023,5.71
8,Zoolab,Gerianna Rawls,Feature phone,2/21/2013,3.84
9,Andalax,Armstrong Legerton,Android 2.3,4/13/2021,3.28
10,Bitwolf,Ellette Damrell,Feature phone,12/15/2015,4.5
11,Temp,Cleo MacGilfoyle,Android 4.0,12/16/2019,7.19
12,Bitwolf,Bobina Oldroyde,Feature phone,11/18/2014,4.69
13,Fintone,Sherman Dimitrescu,Feature phone,10/28/2021,2.75
14,Solarbreeze,Tawnya Kunrad,Symbian 9.4 Series 60 rel. 5,12/08/2022,5.1
15,Bitchip,Flossy Estevez,Android 10; up to Android 11; Realme UI 2.0,3/29/2014,8.68
16,Tin,Clemens Tolchard,Android 2.3.5,10/23/2018,8.57
17,Job,Wenonah Veltmann,Android 4.1.2; TouchWiz UX UI,07/05/2020,5.23
18,Alpha,Babbie Ioannidis,Feature phone,09/08/2019,3.35
19,Sub-Ex,Kenn Gurery,Feature phone,11/11/2019,3.55
20,Konklux,Haskel Dallaghan,Android 8.1; up to Android 9.0,11/30/2018,2.22
21,Cardify,Welch Diddams,Android 10; up to Android 11; One UI 3.0,3/30/2010,4.76
22,Hatity,Ruthi Corker,BlackBerry OS 6.0,8/23/2011,5.11
23,Bigtax,Cyril Mauditt,Feature phone,9/21/2014,7.3
24,Home Ing,Dotti Laye,Android 4.4.2,12/02/2009,5.42
25,Cookley,Roxane Remer,Android 7.1.1,11/28/2024,7.72
26,Veribet,Arlan Bridgement,Android 4.1.2,7/14/2010,1.44
27,Tres-Zap,Colet Isaak,Feature phone,10/13/2008,2.09
28,Rank,Richmound Bryers,Feature phone,9/13/2008,0.44
29,Transcof,Temple Oleszcuk,Feature phone,04/06/2011,0.87
30,Duobam,Corinna Garrigan,Firefox OS 1.1,1/14/2017,7.13
31,Tin,Lindsay Panting,Android 4.0,11/02/2021,8.47
32,Flowdesk,Etty Assard,Android 4.1.2,8/20/2008,6.35
33,Alphazap,Elka Smitherham,BlackBerry OS,07/04/2010,4.05
34,Flexidy,Wash Morby,Android 5.1,12/20/2013,8.92
35,Stim,Sorcha Haggerty,Feature phone,06/12/2015,7.54
36,Bitwolf,Austin Bouldon,Firefox 2.0,02/05/2018,0.25
37,Hatity,Stillmann Tumioto,Android 4.2.1,01/10/2019,2.36
38,Greenlam,Irving Sills,Android 6.0,03/09/2009,7.47
39,Latlux,Cassondra Manus,Feature phone,12/24/2019,7.9
40,Span,Emmi Swanger,Feature phone,06/11/2010,9.98
41,Gembucket,See Dukelow,Android 5.1.1; up to 7.0; LG UX 4 UI,9/21/2024,3.08
42,Voyatouch,Ken Ainslie,Microsoft Windows Mobile 6.0 Professional,11/02/2015,5.59
43,Veribet,Jaclin Pellamont,Feature phone,11/14/2012,3.13
44,Konklab,Reine Devall,Feature phone,11/09/2010,2.53
45,Voltsillam,Zena Duckering,Feature phone,09/10/2015,0.1
46,Solarbreeze,Juditha Wickens,Android 6.0,9/26/2023,5.19
47,Voltsillam,Hans Birtle,Feature phone,3/20/2022,6.24
48,Voyatouch,Dagmar Mathwen,Android 4.4; up to 5.0,9/13/2021,0.24
49,Latlux,Samantha Muzzullo,Feature phone,04/05/2016,2.96
50,Bitchip,Abby Benedick,Android 4.0.3; Sense UI 4,12/14/2008,7.78
51,Y-Solowarm,Kriste Michurin,Android 5.0; up to 5.1.1,8/27/2023,4.28
52,Subin,Isabelita Cumes,Feature phone,03/09/2012,0.87
53,Latlux,Tootsie Bravey,Android 4.0,2/27/2021,0.83
54,Tresom,Goddart Sangwine,Android 10; up to Android 11; Realme UI 2.0,11/11/2011,1.29
55,Duobam,Barnett Duding,Android 2.3.6,11/10/2010,1.48
56,Kanlam,Diann Hyde,Android 6.1; nubia UI 4,10/31/2023,5.81
57,Subin,Nobie Emmens,Feature phone,9/28/2009,3.26
58,Alpha,Franny Snaden,Android 7.0; up to Android 8.1,06/03/2012,7.57
59,Zamit,Flynn Shilstone,Android 6.0,03/12/2016,2.86
60,Viva,Aura Di Franceschi,Feature phone,8/28/2021,1.92
61,Tresom,Clarita Flatt,Feature phone,06/07/2015,4.12
62,Pannier,Vivyanne Polkinghorne,Feature phone,5/26/2014,7.33
63,Voltsillam,Hurleigh Lapenna,Microsoft Windows Phone 7,03/08/2014,0.25
64,Bigtax,Hubey Quantick,Android 5.1,05/10/2017,6.83
65,Latlux,Jocelyne O'Dulchonta,Android 4.2,11/17/2024,4.72
66,Pannier,Camala Gluyas,Feature phone,12/07/2011,4.48
67,Subin,Mattias Slaymaker,Feature phone,9/25/2022,7.35
68,Zamit,Fayth Burnside,Android 4.4.2,9/20/2013,9.27
69,Fix San,Gordon Markham,Feature phone,01/09/2017,9.97
70,Bitwolf,Nobie Iozefovich,Android 9.0; up to 11; One UI Core 3.1,9/16/2014,2
71,Quo Lux,Tucky Isselee,Android 2.3.6,8/31/2010,8.27
72,Veribet,Fernande De Pero,Android 9.0; HIOS 5.0,03/03/2023,3.98
73,It,Lilias Patsall,Feature phone,4/25/2016,2.66
74,Stringtough,Cristine Beacham,Android OS,3/22/2010,3.17
